index,Hotel_Address,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Positive_Review,Reviewer_Score,Tags,lat,lng,countries
404, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,8/4/2015,7.7,Hotel Arena, United Kingdom ,No Negative, The hotel is amazing beautiful old building and the rooms are very modern ,9.2, leisure trip  group  duplex double room  stayed 5 nights  submitted from a mobile device ,52.3605759,4.9159683,netherlands
970,1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB UK,8/9/2015,8.5,K K Hotel George, United Kingdom ,No Negative, Efficiency of booking procedure secure parking facility Efficiency of staff ,10.0, leisure trip  couple  executive king room  stayed 1 night  submitted from a mobile device ,51.4918878,-0.1949706,uk
2007,1 2 Serjeant s Inn Fleet Street City of London London EC4Y 1LL UK,8/4/2015,9.2,Apex Temple Court Hotel, United Kingdom ,No Negative, Peaceful location within walking distance of theatres and restaurants High standard of accommodation and very efficient staff ,9.2, leisure trip  couple  city king room  stayed 2 nights  submitted from a mobile device ,51.5137335,-0.1087512,uk
3777,1 3 Queens Garden Westminster Borough London W2 3BA UK,8/4/2015,7.7,The Park Grand London Paddington, Saudi Arabia , The extra bed in the room, The staff were very nice,7.9, leisure trip  family with older children  triple room  stayed 12 nights  submitted from a mobile device ,51.5142184,-0.1809032,uk
3812,1 3 Rue d Argentine 16th arr 75116 Paris France,8/14/2015,8.4,Monhotel Lounge SPA, Iran ,No Negative, Great location,9.2, leisure trip  couple  superior double room  stayed 2 nights  submitted from a mobile device ,48.8743481,2.2897334,france
3831,1 5 Passage Ruelle 18th arr 75018 Paris France,9/13/2015,7.2,Kube Hotel Ice Bar, United Kingdom ,No Negative, it s such a terrible experience,2.5, leisure trip  solo traveler  superior double or twin room  stayed 6 nights  submitted from a mobile device ,48.88657,2.3588332,france
5256,1 8 Russell Square Camden London WC1B 5BE UK,8/4/2015,8.0,The Principal London, Australia ,No Negative, Great location,8.3, leisure trip  family with older children  double room  stayed 1 night ,51.5226217,-0.1251602,uk
7479,1 Addington Street Lambeth London SE1 7RY UK,8/4/2015,8.4,Park Plaza County Hall London, United Kingdom , Breakfast was served on cold plates and cooked food went cold too quickly,No Positive,10.0, leisure trip  couple  superior double room  stayed 1 night  submitted from a mobile device ,51.5014001,-0.1160092,uk
7615,1 Aldwych Westminster Borough London WC2B 4BZ UK,8/4/2015,9.2,One Aldwych, United Kingdom ,No Negative, Attentive staff who went out of their way to help Perfect location for visiting the ROH ,10.0, leisure trip  couple  aldwych double twin room  stayed 1 night ,51.5117832,-0.1194172,uk
7742,1 Avenue Carnot 17th arr 75017 Paris France,8/11/2015,8.9,Splendid Etoile, United Kingdom , Rare for one of my posts but no faults zero the perfect stay , Best place to see the flypast of Bastille day stunning hotel,10.0, leisure trip  family with older children  2 rooms  stayed 2 nights  submitted from a mobile device ,48.874707,2.2936761,france
7960,1 Bis Rue De Vaugirard 6th arr 75006 Paris France,1/4/2016,8.2,Hotel Trianon Rive Gauche, United Kingdom , Staff not very helpful when asking for advice of where to go what to do about Paris over new years eve , Great location lovely hotel,8.3, leisure trip  group  double room  stayed 3 nights ,48.8487675,2.3410376,france
8120,1 Hamilton Place Park Lane Westminster Borough London W1J 7QY UK,9/7/2015,8.5,InterContinental London Park Lane, Australia , A mix up with booking Smoking room very smelly,No Positive,8.3, leisure trip  couple  classic double or twin room  stayed 4 nights ,51.5038632,-0.1504132,uk
8300,1 Impasse Marteau 18th arr 75018 Paris France,8/5/2015,7.4,Novotel Suites Paris Nord 18 me, United States of America , loction, bed and room,8.8, leisure trip  family with young children  superior suite with 1 double bed and 1 single bed  stayed 3 nights  submitted from a mobile device ,48.9015941,2.3597783,france
11258,1 Inverness Terrace Westminster Borough London W2 3JP UK,8/4/2015,7.7,Grand Royale London Hyde Park, Canada , Rooms are very small You cannot unpack your bags ,No Positive,7.5, leisure trip  couple  superior double room  stayed 6 nights  submitted from a mobile device ,51.5109945,-0.1863417,uk
